Interaction_ID,Participant_ID,nudge,Task_ID,Action,Sequence_Order
123,55,B,3,Used,3
124,56,B,1,Used,1
125,56,B,3,Used,2
126,56,B,2,Used,3
127,57,B,2,Used,1
128,57,B,1,Used,2
129,57,B,3,Used,3
130,58,B,2,Used,1
131,58,B,3,Used,2
132,58,B,1,Used,3
133,59,B,3,Used,1
134,60,B,3,Used,1
135,60,B,2,Used,2
136,59,B,1,Used,2
137,60,B,1,Used,3
138,59,B,2,Used,3
139,62,A,1,Used,1
140,62,A,3,Used,2
141,62,A,2,Used,3
142,64,A,2,Used,1
143,63,A,2,Used,1
144,64,A,3,Used,2
145,63,A,1,Used,2
146,63,A,3,Used,3
147,64,A,1,Used,3
148,65,A,3,Used,1
149,65,A,1,Used,2
150,65,A,2,Used,3
151,66,A,3,Used,1
152,66,A,2,Skipped,2
153,66,A,1,Skipped,3
154,67,B,1,Skipped,1
155,67,B,2,Skipped,2
156,67,B,3,Skipped,3
157,68,B,1,Used,1
158,68,B,3,Used,2
159,68,B,2,Used,3
160,69,B,2,Used,1
161,69,B,1,Used,2
162,69,B,3,Used,3
163,70,B,2,Used,1
164,70,B,3,Used,2
165,70,B,1,Used,3
166,71,B,3,Used,1
167,71,B,1,Used,2
168,71,B,2,Used,3
169,72,B,3,Used,1
170,72,B,2,Used,2
171,72,B,1,Used,3
172,73,A,1,Used,1
173,73,A,2,Used,2
174,73,A,3,Used,3
175,76,A,2,Skipped,1
176,75,A,2,Skipped,1
177,76,A,3,Skipped,2
178,76,A,1,Skipped,3
179,75,A,1,Skipped,2
180,75,A,3,Skipped,3
181,77,A,3,Used,1
182,77,A,1,Used,2
183,77,A,2,Used,3
184,78,A,3,Used,1
185,78,A,2,Used,2
186,78,A,1,Used,3
187,80,B,1,Used,1
188,80,B,3,Used,2
189,80,B,2,Used,3
190,81,B,2,Used,1
191,81,B,1,Used,2
192,81,B,3,Used,3
193,82,B,2,Used,1
194,82,B,3,Used,2
195,82,B,1,Used,3
196,83,B,3,Used,1
197,83,B,1,Used,2
198,84,B,3,Used,1
199,83,B,2,Used,3
200,84,B,2,Used,2
201,84,B,1,Used,3
202,85,A,1,Skipped,1
203,85,A,2,Used,2
204,85,A,3,Skipped,3
205,86,A,1,Used,1
206,86,A,3,Used,2
207,86,A,2,Used,3
208,87,A,2,Used,1
209,87,A,1,Used,2
210,87,A,3,Used,3
211,88,A,2,Used,1
212,88,A,3,Used,2
213,88,A,1,Used,3
214,89,A,3,Used,1
215,89,A,1,Used,2
216,89,A,2,Used,3
217,90,A,3,Used,1
218,90,A,2,Used,2
219,90,A,1,Skipped,3
220,91,B,1,Used,1
221,91,B,2,Used,2
222,91,B,3,Used,3
223,93,B,2,Used,1
224,93,B,1,Used,2
225,93,B,3,Used,3
226,94,B,2,Used,1
227,94,B,3,Used,2
228,94,B,1,Used,3
229,96,B,3,Used,1
230,96,B,2,Used,2
231,96,B,1,Used,3
232,98,A,1,Used,1
233,98,A,3,Skipped,2
234,98,A,2,Used,3
235,100,A,2,Skipped,1
236,100,A,3,Skipped,2
237,100,A,1,Used,3
238,101,A,3,Used,1
239,101,A,1,Used,2
240,101,A,2,Used,3
241,103,B,1,Used,1
242,103,B,2,Used,2
243,103,B,3,Used,3
244,104,B,1,Used,1
245,104,B,3,Used,2
246,104,B,2,Used,3
247,107,B,3,Used,1
248,107,B,1,Used,2
249,107,B,2,Used,3
250,108,B,3,Used,1
251,108,B,2,Used,2
252,108,B,1,Used,3
253,109,A,1,Used,1
254,109,A,2,Used,2
255,109,A,3,Used,3
256,110,A,1,Used,1
257,110,A,3,Used,2
258,110,A,2,Used,3
259,111,A,2,Used,1
260,111,A,1,Used,2
261,111,A,3,Skipped,3
262,112,A,2,Used,1
263,112,A,3,Skipped,2
264,112,A,1,Skipped,3
265,114,A,3,Used,1
266,114,A,2,Used,2
267,114,A,1,Used,3
268,115,B,1,Used,1
269,115,B,2,Used,2
270,115,B,3,Used,3
271,117,B,2,Used,1
272,117,B,1,Used,2
273,117,B,3,Used,3
274,118,B,2,Used,1
275,118,B,3,Used,2
276,118,B,1,Used,3
277,119,B,3,Used,1
278,119,B,1,Used,2
279,119,B,2,Used,3
280,120,B,3,Used,1
281,120,B,2,Used,2
282,120,B,1,Used,3
283,121,A,1,Used,1
284,121,A,2,Used,2
285,121,A,3,Used,3
286,122,A,1,Used,1
287,122,A,3,Used,2
288,122,A,2,Used,3
289,123,A,2,Used,1
290,123,A,1,Used,2
291,123,A,3,Used,3
