group_id,prolific_pid,claimed_at
113,5f0610c3da28a412967e1123,2026-01-11 15:15:29.290497+00
114,658054690a72503441d25c4f,2026-01-12 01:00:20.397666+00
115,66463e4efb99fba5a67a010a,2026-01-12 16:53:43.92978+00
116,6172d63097f568ea03559adb,2026-01-12 16:57:09.996949+00
117,5d0845f9e4b46500019376af,2026-01-12 21:54:55.548318+00
118,5e6f570ab3d22551924c818a,2026-01-13 18:13:58.505483+00
119,65b16b33c01181795aafb797,2026-01-14 17:46:01.909045+00
120,5bec01bfe9b3490001e63ff4,2026-01-15 09:30:43.5038+00
121,5ec84e710b73c13203ba9f3f,2026-01-15 18:12:39.129033+00
122,5f216c1707456f055831aa5d,2026-01-17 12:05:47.744007+00
123,56cb8858edf8da000b6df354,2026-01-19 16:19:40.638301+00
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
